District,D Positive Tweet,D Negative Tweet,R Positive Tweet,R Negative Tweet,Raw PVI,2020 Biden %,2020 Trump %,2016 Clinton %,2016 Trump %,D Popularity,R Popularity,Winners
AK00,0.7657657657657657,0.2342342342342342,0.6565217391304348,0.3434782608695652,-8.02,0.428,0.528,0.366,0.513,105000,538880,D
AL01,0.0,0.0,0.6129032258064516,0.3870967741935484,-16.46,0.35200000000000004,0.635,0.33799999999999997,0.629,0,228000,R
AL04,0.6774193548387096,0.3225806451612903,0.8524590163934426,0.1475409836065573,-33.24,0.18600000000000003,0.802,0.18,0.79,138000,7360,R
AL02,0.9,0.1,0.7596153846153846,0.2403846153846154,-17.32,0.34700000000000003,0.6409999999999999,0.32299999999999995,0.648,8000,249000,R
AL03,0.8,0.2,0.9026548672566372,0.0973451327433628,-19.36,0.324,0.664,0.311,0.657,101,2490000,R
AL05,0.9253731343283582,0.0746268656716417,0.935,0.065,-16.67,0.355,0.625,0.308,0.638,2960,451000,R
AL06,0.0,0.0,0.8260869565217391,0.1739130434782608,-18.39,0.342,0.6409999999999999,0.285,0.6679999999999999,0,142000,R
AL07,0.875,0.125,0.8367346938775511,0.1632653061224489,14.11,0.655,0.33399999999999996,0.6409999999999999,0.335,266,7380,D
AR01,0.8018867924528302,0.1981132075471698,0.78,0.22,-22.37,0.281,0.69,0.301,0.65,7770,155000,R
AR02,0.9310344827586208,0.0689655172413793,0.5725806451612904,0.4274193548387097,-9.03,0.42100000000000004,0.552,0.395,0.545,3020,13700000,R
AR04,0.7297297297297297,0.2702702702702703,0.7663551401869159,0.2336448598130841,-19.55,0.31,0.662,0.325,0.629,277000000,11400,R
AR03,0.8863636363636364,0.1136363636363636,0.7894736842105263,0.2105263157894736,-14.91,0.368,0.602,0.318,0.604,182,30100,R
AZ01,0.8225806451612904,0.1774193548387097,0.7557251908396947,0.2442748091603053,-2.01,0.501,0.48700000000000004,0.446,0.488,1270,12800,R
AZ02,0.8645833333333334,0.1354166666666666,0.8115942028985508,0.1884057971014492,-6.35,0.45299999999999996,0.532,0.41100000000000003,0.512,13900,21300,R
AZ03,0.5739130434782609,0.4260869565217391,0.7528089887640449,0.247191011235955,24.02,0.745,0.239,0.7140000000000001,0.215,31400,4500,D
AZ04,0.8105263157894737,0.1894736842105263,0.746268656716418,0.2537313432835821,2.28,0.541,0.439,0.465,0.441,59900,2750000,D
AZ05,0.75,0.25,0.5609756097560976,0.4390243902439024,-11.11,0.41,0.574,0.353,0.5660000000000001,1020000,40800,R
AZ06,0.7428571428571429,0.2571428571428571,0.8083333333333333,0.1916666666666666,-2.65,0.493,0.49200000000000005,0.43799999999999994,0.49,12500,5170,R
AZ07,0.6853932584269663,0.3146067415730337,0.7647058823529411,0.2352941176470588,14.98,0.6559999999999999,0.32899999999999996,0.634,0.298,15100,1790,D
AZ08,0.0,0.0,0.59,0.41,-9.69,0.425,0.561,0.37200000000000005,0.561,0,8430,R
AZ09,0.0,0.0,0.5080645161290323,0.4919354838709677,-15.64,0.364,0.621,0.32299999999999995,0.614,0,32500,R
CA02,0.7565217391304347,0.2434782608695652,0.8620689655172413,0.1379310344827586,23.19,0.735,0.24100000000000002,0.6890000000000001,0.23399999999999999,28800,3880,D
CA03,0.69,0.31,0.7109375,0.2890625,-3.72,0.479,0.49700000000000005,0.425,0.503,40700,69900,R
CA04,0.6875,0.3125,0.7293233082706767,0.2706766917293233,16.72,0.6709999999999999,0.305,0.637,0.293,7910000,313000,D
CA05,0.797979797979798,0.202020202020202,0.7301587301587301,0.2698412698412698,-8.72,0.42700000000000005,0.55,0.39299999999999996,0.546,309000,25200,R
CA06,0.7241379310344828,0.2758620689655172,0.8173913043478261,0.1826086956521739,7.39,0.579,0.39399999999999996,0.5479999999999999,0.38,20600,5810,D
CA07,0.7981651376146789,0.2018348623853211,0.9166666666666666,0.0833333333333333,17.4,0.674,0.303,0.6629999999999999,0.27699999999999997,4820,216,D
CA08,0.4742268041237113,0.5257731958762887,0.9130434782608696,0.0869565217391304,26.09,0.76,0.21899999999999997,0.753,0.19399999999999998,28700,113,D
CA09,0.591304347826087,0.408695652173913,0.3533333333333333,0.6466666666666666,4.58,0.552,0.426,0.5379999999999999,0.408,287000,140000,D
CA11,0.6565656565656566,0.3434343434343434,0.680672268907563,0.3193277310924369,36.7,0.863,0.11699999999999999,0.86,0.08900000000000001,7590000,11100000,D
CA12,0.6909090909090909,0.3090909090909091,0.8666666666666667,0.1333333333333333,39.7,0.893,0.086,0.8759999999999999,0.065,3250000,1820,D
CA13,0.7452830188679245,0.2547169811320754,0.6458333333333334,0.3541666666666667,3.85,0.5429999999999999,0.434,0.534,0.409,56700000,129000,
CA14,0.3529411764705882,0.6470588235294118,0.808695652173913,0.1913043478260869,21.7,0.7170000000000001,0.262,0.706,0.235,44600,37100,D
CA15,0.7354260089686099,0.2645739910313901,0.0,0.0,27.75,0.777,0.204,0.773,0.179,87100,0,D
CA16,0.7831325301204819,0.216867469879518,0.0,0.0,25.63,0.754,0.22399999999999998,0.7440000000000001,0.196,796200,0,D
CA17,0.689922480620155,0.3100775193798449,0.7264150943396226,0.2735849056603773,23.31,0.727,0.253,0.741,0.20199999999999999,47800,5330,D
CA18,0.6105263157894737,0.3894736842105263,0.7088607594936709,0.2911392405063291,21.39,0.7090000000000001,0.26899999999999996,0.715,0.22699999999999998,42700,235000,D
CA19,0.780952380952381,0.219047619047619,0.7165354330708661,0.2834645669291338,18.46,0.6859999999999999,0.29100000000000004,0.664,0.27,9930,49300,D
CA20,0.8163265306122449,0.1836734693877551,0.5760869565217391,0.4239130434782608,-15.59,0.364,0.613,0.318,0.626,43500,3620000,R
CA21,0.6115702479338843,0.3884297520661157,0.8354430379746836,0.1645569620253164,8.7,0.5920000000000001,0.38799999999999996,0.5820000000000001,0.365,1940000,173000,D
CA22,0.7719298245614035,0.2280701754385964,0.9224137931034484,0.0775862068965517,5.07,0.552,0.424,0.552,0.39299999999999996,19600,50600,R
CA23,0.6308724832214765,0.3691275167785235,0.7735849056603774,0.2264150943396226,-7.69,0.439,0.537,0.397,0.546,193000,2500,R
CA24,0.8235294117647058,0.1764705882352941,0.488,0.512,12.57,0.634,0.34299999999999997,0.591,0.34,60200,1300000,D
CA25,0.7454545454545455,0.2545454545454545,0.7297297297297297,0.2702702702702703,6.18,0.5670000000000001,0.413,0.563,0.389,95600,130000,D
CA26,0.7951807228915663,0.2048192771084337,0.8,0.2,7.97,0.589,0.39,0.557,0.384,7770,265000,D
CA27,0.6354166666666666,0.3645833333333333,0.7692307692307693,0.2307692307692307,4.05,0.551,0.42700000000000005,0.519,0.42100000000000004,123000,1580000,R
CA28,0.8181818181818182,0.1818181818181818,0.7555555555555555,0.2444444444444444,15.56,0.66,0.321,0.644,0.299,23000,1410,D
CA29,0.7258883248730964,0.2741116751269035,0.0,0.0,25.79,0.745,0.23199999999999998,0.779,0.166,21900,0,D
CA30,0.6752136752136753,0.3247863247863248,0.0,0.0,22.68,0.722,0.26,0.738,0.20800000000000002,444200,0,D
CA31,0.8117647058823529,0.188235294117647,0.6,0.4,14.83,0.645,0.335,0.657,0.285,24300,2440000,D
CA32,0.3571428571428571,0.6428571428571429,0.931372549019608,0.0686274509803921,19.53,0.695,0.287,0.7,0.249,110000,160,D
CA33,0.8141592920353983,0.1858407079646017,0.6545454545454545,0.3454545454545454,11.71,0.615,0.36200000000000004,0.622,0.32299999999999995,34200,5930000,D
CA35,0.6470588235294118,0.3529411764705882,0.6666666666666666,0.3333333333333333,13.32,0.629,0.349,0.6459999999999999,0.3,212000,1420,D
CA36,0.6923076923076923,0.3076923076923077,0.7086614173228346,0.2913385826771653,20.82,0.71,0.26899999999999996,0.6920000000000001,0.248,83200,5370000,D
CA37,0.7586206896551724,0.2413793103448276,0.0,0.0,36.63,0.857,0.124,0.884,0.073,1622510,0,D
CA38,0.75,0.25,0.7884615384615384,0.2115384615384615,14.33,0.6409999999999999,0.33899999999999997,0.652,0.293,101000,18700,D
CA39,0.8144329896907216,0.1855670103092783,0.8,0.2,11.86,0.62,0.358,0.614,0.327,13500,50500,D
CA40,1.0,0.0,0.8578947368421053,0.1421052631578947,-1.85,0.499,0.48100000000000004,0.45,0.493,21200,75600000,R
CA41,0.7863247863247863,0.2136752136752136,0.6893203883495146,0.3106796116504854,-3.17,0.486,0.496,0.446,0.506,781000,24700,R
CA42,0.6068376068376068,0.3931623931623931,0.7803030303030303,0.2196969696969697,22.38,0.7170000000000001,0.259,0.723,0.21600000000000003,2360000,47500,D
CA43,0.52,0.48,0.5272727272727272,0.4727272727272727,31.99,0.8079999999999999,0.17,0.841,0.114,91200,94100,D
CA44,0.7592592592592593,0.2407407407407407,0.7142857142857143,0.2857142857142857,24.0,0.7290000000000001,0.247,0.7559999999999999,0.191,2340,22000000,D
CA45,0.7719298245614035,0.2280701754385964,0.6442953020134228,0.3557046979865771,2.14,0.521,0.46,0.5379999999999999,0.406,90200,185000,R
CA46,0.7913043478260869,0.208695652173913,0.6065573770491803,0.3934426229508196,14.93,0.6409999999999999,0.337,0.6679999999999999,0.273,22700,57500,D
CA47,0.8067226890756303,0.1932773109243697,0.79,0.21,3.28,0.545,0.434,0.507,0.433,340000,13900,D
CA49,0.8181818181818182,0.1818181818181818,0.6237623762376238,0.3762376237623762,3.14,0.546,0.43200000000000005,0.49700000000000005,0.441,129000,7250,D
CA50,0.7017543859649122,0.2982456140350877,0.7777777777777778,0.2222222222222222,14.38,0.654,0.322,0.605,0.332,284000,5230,D
CA51,0.7319587628865979,0.268041237113402,0.674074074074074,0.3259259259259259,11.56,0.625,0.35200000000000004,0.584,0.354,102000,6780,D
CA01,0.7478260869565218,0.2521739130434782,0.6608695652173913,0.3391304347826087,-12.21,0.39299999999999996,0.583,0.35600000000000004,0.583,166000,7240,R
CA52,0.8275862068965517,0.1724137931034483,0.96875,0.03125,18.28,0.674,0.305,0.7070000000000001,0.24100000000000002,3590000,264,D
CA48,0.9551282051282052,0.0448717948717948,0.6962025316455697,0.3037974683544304,-9.33,0.42700000000000005,0.55,0.37200000000000005,0.5710000000000001,4520,38400,R
CA10,0.7419354838709677,0.2580645161290322,0.0,0.0,17.91,0.6859999999999999,0.293,0.6509999999999999,0.289,10600,0,D
CA34,0.7325581395348837,0.2674418604651162,0.0,0.0,32.46,0.81,0.16699999999999998,0.84,0.10300000000000001,41859000,0,D
CO02,0.775,0.225,0.7610619469026548,0.2389380530973451,17.5,0.6859999999999999,0.28800000000000003,0.609,0.304,13200,108000,D
CO03,0.7083333333333334,0.2916666666666667,0.6170212765957447,0.3829787234042553,-7.06,0.447,0.529,0.39,0.531,76300,464000,
CO04,0.7266187050359713,0.2733812949640288,0.6576576576576577,0.3423423423423423,-12.84,0.395,0.58,0.321,0.596,999,139000,R
CO05,0.7,0.3,0.4285714285714285,0.5714285714285714,-8.94,0.431,0.532,0.341,0.5589999999999999,8010000,8370,R
CO06,0.7904761904761904,0.2095238095238095,0.7767857142857143,0.2232142857142857,9.01,0.606,0.368,0.523,0.391,109000,14700,D
CO07,0.8278688524590164,0.1721311475409836,0.8157894736842105,0.1842105263157894,3.89,0.557,0.415,0.47,0.441,7280,4140,D
CO01,0.6551724137931034,0.3448275862068966,0.9523809523809524,0.0476190476190476,28.92,0.795,0.182,0.736,0.18899999999999997,14200,78,D
CO08,0.8214285714285714,0.1785714285714285,0.7761194029850746,0.2238805970149253,-0.45,0.508,0.462,0.446,0.46399999999999997,9590,5680,D
CT01,0.8,0.2,0.5952380952380952,0.4047619047619047,11.75,0.633,0.35200000000000004,0.594,0.36200000000000004,311000,1630,D
CT02,0.75,0.25,0.7096774193548387,0.2903225806451613,2.86,0.547,0.43200000000000005,0.488,0.45399999999999996,419000,16100000,D
CT03,0.6956521739130435,0.3043478260869565,0.8918918918918919,0.1081081081081081,7.32,0.5920000000000001,0.395,0.55,0.41100000000000003,19900,164,D
CT04,0.6956521739130435,0.3043478260869565,0.6779661016949152,0.3220338983050847,13.07,0.649,0.337,0.602,0.35700000000000004,83400,5900,D
CT05,0.7425742574257426,0.2574257425742574,0.7613636363636364,0.2386363636363636,2.66,0.546,0.439,0.499,0.457,23600,1620000,D
DE00,0.7684210526315789,0.231578947368421,0.6363636363636364,0.3636363636363636,6.74,0.5870000000000001,0.39799999999999996,0.531,0.41700000000000004,61100,2410000,D
FL02,0.9019607843137256,0.0980392156862745,0.7340425531914894,0.2659574468085106,-7.7,0.439,0.5479999999999999,0.419,0.5379999999999999,165000,50200,R
FL03,0.7419354838709677,0.2580645161290322,0.5080645161290323,0.4919354838709677,-9.24,0.424,0.564,0.406,0.5529999999999999,22700,12300,R
FL04,0.9222222222222224,0.0777777777777777,0.8617021276595744,0.1382978723404255,-5.88,0.45899999999999996,0.526,0.429,0.5329999999999999,485,104000,R
FL05,0.0,0.0,0.6666666666666666,0.3333333333333333,-10.86,0.414,0.5710000000000001,0.366,0.585,0,422000,R
FL06,0.0,0.0,0.71875,0.28125,-13.97,0.377,0.613,0.365,0.599,0,119000,R
FL07,0.7037037037037037,0.2962962962962963,0.6771653543307087,0.3228346456692913,-5.1,0.466,0.521,0.43700000000000006,0.514,22300000,51400,R
FL08,0.8163265306122449,0.1836734693877551,0.4014084507042254,0.5985915492957746,-11.37,0.405,0.581,0.373,0.579,57200,58700,R
FL09,0.6125,0.3875,0.5689655172413793,0.4310344827586206,8.06,0.581,0.40700000000000003,0.61,0.34700000000000003,34600,34700,D
FL10,0.6942148760330579,0.3057851239669421,0.907563025210084,0.0924369747899159,14.31,0.6509999999999999,0.335,0.636,0.314,75800,2220,D
FL11,0.801980198019802,0.198019801980198,0.7431192660550459,0.2568807339449541,-8.04,0.441,0.5489999999999999,0.40700000000000003,0.557,271,183000,R
FL12,0.8404255319148937,0.1595744680851064,0.7325581395348837,0.2674418604651162,-16.58,0.35100000000000003,0.638,0.337,0.62,131000,7030,R
FL13,0.8522727272727273,0.1477272727272727,0.6779661016949152,0.3220338983050847,-5.57,0.46,0.527,0.43700000000000006,0.515,243000,580000,R
FL14,0.4426229508196721,0.5573770491803278,0.788235294117647,0.2117647058823529,8.13,0.588,0.397,0.583,0.36700000000000005,17100,20300000,D
FL15,0.8780487804878049,0.1219512195121951,0.7792207792207793,0.2207792207792207,-3.67,0.47700000000000004,0.509,0.457,0.496,17900,136000,R
FL16,0.4666666666666667,0.5333333333333333,0.5504587155963303,0.4495412844036697,-6.99,0.45,0.5379999999999999,0.415,0.54,440000,13000,R
FL17,0.7373737373737373,0.2626262626262626,0.6746987951807228,0.3253012048192771,-10.15,0.41600000000000004,0.575,0.39899999999999997,0.564,17400,7980,R
FL18,0.0,0.0,0.803921568627451,0.196078431372549,-13.39,0.38,0.608,0.374,0.5870000000000001,0,3330000,R
FL21,0.8378378378378378,0.1621621621621621,0.6756756756756757,0.3243243243243243,-6.85,0.449,0.5429999999999999,0.43200000000000005,0.534,116,56200,R
FL22,0.8157894736842105,0.1842105263157894,0.8454545454545455,0.1545454545454545,7.26,0.584,0.408,0.5870000000000001,0.385,9990,2160,D
FL23,0.8671875,0.1328125,0.6607142857142857,0.3392857142857143,4.81,0.562,0.431,0.557,0.415,7580,45200,D
FL01,0.5423728813559322,0.4576271186440678,0.6404494382022472,0.3595505617977528,-19.31,0.32899999999999996,0.6509999999999999,0.28300000000000003,0.662,43700,70300,R
FL24,0.7007874015748031,0.2992125984251969,0.8823529411764706,0.1176470588235294,24.64,0.741,0.251,0.8059999999999999,0.172,14800,104000,D
FL25,0.59375,0.40625,0.7850467289719626,0.2149532710280373,9.2,0.595,0.397,0.627,0.34299999999999997,39900,3230,D
FL26,0.8768115942028986,0.1231884057971014,0.8636363636363636,0.1363636363636363,-8.41,0.405,0.588,0.503,0.46799999999999997,4520,16600,R
FL27,0.6944444444444444,0.3055555555555556,0.8571428571428571,0.1428571428571428,0.15,0.495,0.498,0.569,0.397,10100,18200,R
FL19,0.6052631578947368,0.3947368421052631,0.5894736842105263,0.4105263157894737,-12.91,0.391,0.601,0.368,0.6,448,48300,R
FL20,0.8412698412698413,0.1587301587301587,0.6386554621848739,0.361344537815126,25.1,0.758,0.23399999999999999,0.774,0.203,2930,5100,D
FL28,0.87,0.13,0.7272727272727273,0.2727272727272727,-2.36,0.465,0.528,0.56,0.405,3550,147000,R
GA01,0.7941176470588235,0.2058823529411764,0.6373626373626373,0.3626373626373626,-9.19,0.426,0.56,0.40399999999999997,0.569,13800,149000,R
GA02,0.5955056179775281,0.4044943820224719,0.8292682926829268,0.1707317073170731,3.11,0.547,0.444,0.536,0.445,29000,55500000,D
GA03,0.8198198198198198,0.1801801801801801,0.7590361445783133,0.2409638554216867,-17.99,0.34299999999999997,0.644,0.308,0.6629999999999999,459,196000,R
GA04,0.66,0.34,0.5925925925925926,0.4074074074074074,26.64,0.7829999999999999,0.20600000000000002,0.747,0.22399999999999998,130000,77200,D
GA05,0.7563025210084033,0.2436974789915966,0.725,0.275,31.65,0.8270000000000001,0.161,0.807,0.159,5820,863,D
GA07,0.5319148936170213,0.4680851063829787,0.8151260504201681,0.1848739495798319,9.64,0.623,0.365,0.551,0.41100000000000003,11700,13800,D
GA08,0.7843137254901961,0.2156862745098039,0.7798165137614679,0.2201834862385321,-16.37,0.35700000000000004,0.633,0.336,0.643,6320,7070000,R
GA09,0.74,0.26,0.6814159292035398,0.3185840707964602,-22.26,0.304,0.6829999999999999,0.256,0.711,8550000,116000,R
GA10,0.7037037037037037,0.2962962962962963,0.7327586206896551,0.2672413793103448,-14.6,0.377,0.611,0.34,0.629,12700,5980000,R
GA11,0.8269230769230769,0.173076923076923,0.6559139784946236,0.3440860215053763,-11.03,0.415,0.568,0.355,0.602,46200,8760,R
GA12,0.7575757575757576,0.2424242424242424,0.7549019607843137,0.2450980392156862,-7.52,0.44299999999999995,0.545,0.42200000000000004,0.5539999999999999,12300000,1280000,R
GA13,0.5419847328244275,0.4580152671755725,0.7448979591836735,0.2551020408163265,27.87,0.797,0.193,0.762,0.21600000000000003,43100000,12000,D
GA14,0.6822429906542056,0.3177570093457944,0.594059405940594,0.4059405940594059,-21.77,0.307,0.6809999999999999,0.26899999999999996,0.7020000000000001,118000,582000,R
GA06,0.8849557522123894,0.1150442477876106,0.9798994974874372,0.0201005025125628,-11.08,0.418,0.5660000000000001,0.344,0.61,9630000,43900,R
HI02,0.7905405405405406,0.2094594594594594,0.7319587628865979,0.268041237113402,13.7,0.636,0.341,0.614,0.29600000000000004,5880,3570,D
HI01,0.6527777777777778,0.3472222222222222,0.8333333333333334,0.1666666666666666,13.6,0.639,0.345,0.631,0.305,53900000,1900,D
IA01,0.7310924369747899,0.2689075630252101,0.6990291262135923,0.3009708737864077,-3.49,0.475,0.504,0.44799999999999995,0.479,4160,13200,R
IA02,0.7,0.3,0.6371681415929203,0.3628318584070796,-4.27,0.46799999999999997,0.512,0.441,0.48700000000000004,20700,21800,R
IA03,0.6907216494845361,0.3092783505154639,0.8241758241758241,0.1758241758241758,-2.52,0.488,0.49200000000000005,0.44799999999999995,0.478,19800,32000,R
IA04,0.7711864406779662,0.2288135593220339,0.72,0.28,-15.52,0.361,0.62,0.332,0.602,73200,9730,R
ID01,0.8220338983050848,0.1779661016949152,0.6936936936936937,0.3063063063063063,-22.18,0.295,0.677,0.25,0.6409999999999999,14500,4940,R
ID02,0.7837837837837838,0.2162162162162162,0.7207207207207207,0.2792792792792792,-14.5,0.369,0.599,0.299,0.544,73600,923000,R
IL01,0.8842975206611571,0.1157024793388429,0.7289719626168224,0.2710280373831775,20.38,0.705,0.281,0.7190000000000001,0.24,4430000,151000,D
IL03,0.7816091954022989,0.2183908045977011,0.7555555555555555,0.2444444444444444,19.81,0.6970000000000001,0.28300000000000003,0.691,0.24600000000000002,18100,593,D
IL04,0.6956521739130435,0.3043478260869565,0.8571428571428571,0.1428571428571428,22.46,0.722,0.259,0.7240000000000001,0.217,22200,90,D
IL05,0.7653061224489796,0.2346938775510204,0.6825396825396826,0.3174603174603174,18.34,0.69,0.292,0.655,0.273,87700,39600,D
IL06,0.6538461538461539,0.3461538461538461,0.6116504854368932,0.3883495145631068,3.28,0.545,0.436,0.507,0.424,23000,5650,D
IL07,0.6382978723404256,0.3617021276595745,0.0,0.0,35.72,0.856,0.128,0.858,0.098,1940000,0,D
